"","Lecture","Responsive","Student_Guide","Lab_Exercises","Classroom","Computer","Network","See_Hear","Had_Knowledge_Skills","Learned_What_I_Needed","Technical_Details"
"323",40,40,30,30,30,30,30,30,20,30,30
"324",30,40,40,40,40,40,40,40,30,30,30
"325",40,40,30,30,40,40,40,40,30,30,30
"326",30,30,30,30,40,30,30,30,40,30,30
"327",40,40,30,30,40,40,30,40,30,40,30
"328",40,40,40,40,40,30,40,40,30,40,40
"329",30,40,30,30,30,30,30,30,30,40,30
"330",40,40,30,30,40,40,40,40,30,30,30
"331",30,30,40,40,40,40,40,40,40,30,40
"332",40,40,30,30,40,40,30,40,40,40,20
"333",40,40,40,40,40,40,30,40,30,30,40
"334",20,20,20,20,30,30,30,30,20,20,30
"335",40,40,30,30,20,40,40,40,40,40,30
"336",40,30,30,40,40,40,40,40,40,40,40
"337",40,40,40,40,40,40,40,40,30,40,40
"338",30,30,30,30,30,30,30,30,20,30,30
"339",30,30,30,30,20,40,40,40,30,30,30
"340",40,40,30,40,40,40,40,40,30,40,30
"341",40,40,40,40,40,40,40,40,30,40,40
"342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",20,20,30,30,30,30,30,30,30,30,30
"344",30,20,30,30,30,30,30,30,40,30,20
"345",40,40,30,30,30,30,30,30,30,30,30
"346",40,40,30,30,30,40,40,40,30,40,40
"347",40,40,30,40,40,40,40,40,30,40,40
"348",40,40,40,40,40,40,40,40,30,40,40
"349",40,40,30,30,30,40,40,40,30,40,40
"350",40,40,40,40,30,40,40,40,20,40,40
"351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",40,40,40,40,30,30,30,40,30,30,30
"354",40,40,30,30,30,30,30,40,30,30,30
"355",40,40,40,40,40,40,30,40,40,40,40
"356",30,30,30,30,30,30,30,30,30,30,30
"357",40,40,40,40,30,30,30,40,40,30,40
"358",40,30,30,40,40,40,30,40,30,40,40
"359",30,30,40,40,30,30,30,40,30,30,30
"360",30,30,40,40,40,40,40,40,40,30,30
"361",40,40,40,30,30,40,40,40,40,40,30
"362",30,30,30,30,30,30,30,30,30,30,NA
"363",20,30,30,30,40,40,30,30,40,30,30
"364",30,40,30,30,40,40,40,40,30,30,30
"365",20,30,10,30,40,30,30,30,30,30,30
"366",40,40,40,30,40,40,40,40,40,20,20
"367",30,40,30,30,30,30,30,30,30,30,30
"368",30,40,40,30,30,40,40,40,30,30,30
"369",30,30,30,30,30,30,20,30,30,30,30
"370",40,40,30,40,40,30,30,40,30,30,30
"371",40,40,40,30,30,30,30,30,30,30,30
"372",40,40,40,40,30,40,40,40,10,40,40
"373",40,40,40,40,40,10,40,40,20,30,40
"374",40,40,40,40,40,30,40,40,30,30,40
"375",30,40,30,30,30,30,40,30,40,30,30
"376",40,40,40,40,40,40,40,40,40,30,40
"377",40,40,40,40,30,30,30,NA,30,40,30
"378",40,40,40,40,30,30,40,40,30,40,40
"379",40,40,40,40,40,40,40,40,30,40,40
"380",40,40,40,40,40,40,40,40,40,40,40
"381",40,40,40,40,40,30,40,40,30,30,40
"382",40,40,40,40,40,40,40,40,20,30,40
"383",40,40,30,30,30,30,30,30,30,30,30
"384",30,30,30,30,30,30,30,30,30,30,NA
"385",40,40,30,40,40,40,40,40,40,40,30
"386",40,40,30,30,40,40,30,30,40,40,30
"387",40,40,40,40,40,40,40,40,40,30,40
"388",40,40,30,30,30,30,30,30,30,30,30
"389",40,40,40,40,40,40,40,40,30,40,40
"390",40,30,30,30,30,30,30,30,30,30,30
"391",40,40,30,30,30,30,40,40,30,30,30
"392",40,30,30,40,40,40,40,40,30,30,30
"393",40,40,40,40,30,30,40,40,30,40,30
"394",40,40,30,30,30,30,30,40,30,30,30
